Tiempo,Direccion de viento media vectorial,Direccion de viento media escalar,Direccion de rafaga
2026-04-19 14:30:00,358.2000,356.0000,348.9000
2026-04-19 14:40:00,2.7000,10.7000,345.0000
2026-04-19 14:50:00,345.4000,341.2000,324.9000
2026-04-19 15:00:00,349.1000,6.4000,343.8000
2026-04-19 15:10:00,349.8000,4.4000,358.0000
2026-04-19 15:20:00,4.4000,355.2000,3.1000
2026-04-19 15:30:00,357.4000,358.9000,349.7000
2026-04-19 15:40:00,357.4000,358.6000,354.0000
2026-04-19 15:50:00,358.2000,0.8000,357.2000
2026-04-19 16:00:00,0.8000,6.4000,6.1000
2026-04-19 16:10:00,357.2000,351.3000,359.4000
2026-04-19 16:20:00,356.0000,351.3000,0.5000
2026-04-19 16:30:00,1.2000,0.7000,350.2000
2026-04-19 16:40:00,2.9000,3.4000,0.1000
2026-04-19 16:50:00,357.8000,12.6000,346.7000
2026-04-19 17:00:00,1.9000,13.9000,346.5000
2026-04-19 17:10:00,3.8000,351.2000,358.4000
2026-04-19 17:20:00,358.3000,5.4000,1.4000
2026-04-19 17:30:00,348.7000,348.8000,358.3000
2026-04-19 17:40:00,359.1000,17.9000,18.3000
2026-04-19 17:50:00,357.9000,3.1000,356.2000
2026-04-19 18:00:00,1.4000,14.1000,354.3000
2026-04-19 18:10:00,358.2000,9.5000,359.0000
2026-04-19 18:20:00,359.6000,349.1000,7.5000
2026-04-19 18:30:00,352.9000,348.1000,351.5000
2026-04-19 18:40:00,351.0000,10.3000,354.1000
2026-04-19 18:50:00,359.9000,352.5000,346.8000
2026-04-19 19:00:00,3.3000,356.8000,351.7000
2026-04-19 19:10:00,5.6000,352.9000,352.2000
2026-04-19 19:20:00,1.1000,347.3000,344.1000
2026-04-19 19:30:00,358.7000,358.7000,344.2000
2026-04-19 19:40:00,359.4000,8.2000,350.8000
2026-04-19 19:50:00,359.1000,4.2000,1.9000
2026-04-19 20:00:00,359.8000,5.1000,8.4000
2026-04-19 20:10:00,358.7000,347.2000,0.5000
2026-04-19 20:20:00,1.6000,0.1000,355.3000
2026-04-19 20:30:00,359.2000,5.2000,2.4000
2026-04-19 20:40:00,0.1000,357.0000,353.1000
2026-04-19 20:50:00,358.5000,2.9000,358.0000
2026-04-19 21:00:00,359.2000,356.0000,354.3000
2026-04-19 21:10:00,1.1000,347.9000,359.7000
2026-04-19 21:20:00,359.1000,4.5000,346.0000
2026-04-19 21:30:00,358.0000,354.6000,354.8000
2026-04-19 21:40:00,359.4000,357.2000,354.0000
2026-04-19 21:50:00,350.7000,9.9000,352.9000
2026-04-19 22:00:00,353.4000,340.6000,354.6000
2026-04-19 22:10:00,350.0000,358.6000,354.8000
2026-04-19 22:20:00,354.7000,353.2000,357.6000
2026-04-19 22:30:00,355.3000,2.3000,355.8000
2026-04-19 22:40:00,357.2000,349.5000,356.1000
2026-04-19 22:50:00,358.9000,354.9000,359.8000
2026-04-19 23:00:00,354.4000,356.3000,356.9000
2026-04-19 23:10:00,355.4000,352.2000,353.3000
2026-04-19 23:20:00,351.0000,354.0000,1.0000
2026-04-19 23:30:00,356.0000,10.0000,346.9000
2026-04-19 23:40:00,356.4000,6.2000,348.3000
2026-04-19 23:50:00,351.5000,356.6000,358.0000
2026-04-20 00:00:00,354.5000,341.0000,358.9000
2026-04-20 00:10:00,359.6000,5.9000,352.3000
2026-04-20 00:20:00,358.7000,5.9000,356.1000
2026-04-20 00:30:00,0.1000,13.3000,359.5000
2026-04-20 00:40:00,0.6000,1.8000,7.9000
2026-04-20 00:50:00,1.8000,11.2000,355.0000
2026-04-20 01:00:00,355.9000,350.0000,2.6000
2026-04-20 01:10:00,354.7000,348.5000,355.3000
2026-04-20 01:20:00,355.2000,5.3000,6.8000
2026-04-20 01:30:00,355.3000,357.7000,346.7000
2026-04-20 01:40:00,354.2000,358.3000,342.8000
2026-04-20 01:50:00,358.2000,5.1000,343.7000
2026-04-20 02:00:00,348.8000,355.2000,356.2000
2026-04-20 02:10:00,357.0000,6.1000,344.4000
2026-04-20 02:20:00,355.7000,354.4000,346.8000
2026-04-20 02:30:00,352.2000,357.4000,5.4000
2026-04-20 02:40:00,351.2000,351.0000,333.4000
2026-04-20 02:50:00,351.0000,355.4000,342.3000
2026-04-20 03:00:00,348.4000,6.6000,354.3000
2026-04-20 03:10:00,352.1000,350.3000,353.7000
2026-04-20 03:20:00,351.9000,1.5000,347.0000
2026-04-20 03:30:00,349.5000,342.4000,12.1000
2026-04-20 03:40:00,345.7000,3.1000,349.1000
2026-04-20 03:50:00,351.2000,346.0000,359.2000
2026-04-20 04:00:00,353.6000,349.0000,349.4000
2026-04-20 04:10:00,349.5000,358.1000,342.5000
2026-04-20 04:20:00,353.4000,349.3000,344.9000
2026-04-20 04:30:00,350.2000,356.5000,336.1000
2026-04-20 04:40:00,347.9000,351.9000,351.8000
2026-04-20 04:50:00,348.9000,4.7000,336.9000
2026-04-20 05:00:00,352.5000,340.5000,352.3000
2026-04-20 05:10:00,354.0000,357.1000,348.0000
2026-04-20 05:20:00,353.0000,333.5000,352.0000
2026-04-20 05:30:00,355.3000,351.4000,347.1000
2026-04-20 05:40:00,349.5000,5.6000,355.1000
2026-04-20 05:50:00,356.4000,352.0000,346.2000
2026-04-20 06:00:00,350.4000,8.6000,332.5000
2026-04-20 06:10:00,350.1000,8.9000,352.2000
